Ingredient1,Description,5.5,150,2017-03-16,hops
Ingredient2,Description,7.5,200,2017-03-17,hops
Ingredient3,Description,6.5,125,2017-03-18,hops
Ingredient4,Description,6.5,172,2017-03-18,hops
Ingredient5,Description,6.5,119,2017-03-18,hops
Ingredient6,Description,NULL,1250,2017-03-18,malt
Ingredient7,Description,NULL,125,2017-03-18,malt
Ingredient8,Description,8.3,125,2017-03-18,hops
Ingredient9,Description,NULL,5000,2017-03-18,malt
Ingredient10,Description,NULL,3050,2017-03-18,malt
Ingredient11,Description,NULL,1337,2017-03-18,malt
Ingredient12,Description,NULL,9001,2017-03-18,malt
Ingredient13,Description,7.5,125,2017-03-18,hops
Ingredient14,Description,6.5,125,2017-03-18,hops
Ingredient15,Description,NULL,3400,2017-03-18,malt
Ingredient16,Description,NULL,1234,2017-03-18,malt
Ingredient10,Description,NULL,3050,2017-03-18,malt
Ingredient11,Description,NULL,1337,2017-03-18,malt
Ingredient12,Description,NULL,9001,2017-03-18,malt
Ingredient13,Description,7.5,125,2017-03-18,hops
Ingredient14,Description,6.5,125,2017-03-18,hops
Ingredient15,Description,NULL,3400,2017-03-18,malt
Ingredient16,Description,NULL,1234,2017-03-18,malt
Ingredient1,Description,5.5,150,2017-03-16,hops
Ingredient2,Description,7.5,200,2017-03-17,hops
Ingredient3,Description,6.5,125,2017-03-18,hops
Ingredient4,Description,6.5,172,2017-03-18,hops
Ingredient5,Description,6.5,119,2017-03-18,hops
Ingredient6,Description,NULL,1250,2017-03-18,malt
